doi,year,title,source_id,source_title,retracted,area,category,intext_citation.section,intext_citation.pointer,intext_citation.intent,intext_citation.sentiment,intext_citation.section.ret_mention
10.1007/s00227-012-1943-4,2012,Impact of ocean acidification on marine ecosystems: educational challenges and innovations,issn:0025-3162; issn:1432-1793,Marine Biology,no,"Agricultural and Biological Sciences;;
Environmental Science;;","Aquatic Science;
Ecology, Evolution, Behavior and Systematics;;
Ecology;;","“Science, environmental and marine education”;Middle Section;;",Wakefield et al. 1998,qualifies;;,negative;;,no;;
10.1093/scipol/scu057,2014,Science Media Centres and public policy ,issn:0302-3427; issn:1471-5430,Science And Public Policy,no,"Environmental Science;;
Social Sciences;;","Management, Monitoring, Policy and Law;;
Geography, Planning and Development;
Public Administration;;","“The identity of social problems: On the origin and purpose of the SMC ”;Middle Section;;",Wakefield et al. 1998,qualifies;;,neutral;;,no;;
10.1098/rsif.2010.0442.focus,2010,"Regulating interface science healthcare products: myths and uncertainties

",issn:1742-5689; issn:1742-5662,Journal Of The Royal Society Interface,no,"Biochemistry, Genetics and Molecular Biology;;
Chemical Engineering;;
Engineering;;
Materials Science;;","Biochemistry;
Biophysics;
Biotechnology;;
Bioengineering;;
Biomedical Engineering;;
Biomaterials;;",middle section; “3. Risk–benefit and uncertainty“;;,Wakefield et al. 1998,cites for information;;,neutral;;,no;;
10.1201/b11019-27,2011,"DHEAS and Related Factors in Autism 
",isbn:9781439838839; isbn:9781439838846,Dhea In Human Health And Aging,no,"Medicine;;
Nursing;;
Pharmacology, Toxicology and Pharmaceutics;;","Pharmacology (medical);;
Pharmacology (nursing);;
Pharmacology;;",“dIscussIon and hyPothesIs”; Final section;;,Wakefield et al. 1998,"Cites for information;;
",neutral;;,no;;
10.1007/s11192-016-2227-4,2017,Highly cited retracted papers,issn:0138-9130; issn:1588-2861,Scientometrics,no,"Computer Science;;
Social Sciences;;","Computer Science Applications;;
Library and Information Sciences;
Social Sciences (miscellaneous);;","“Ten highly cited retracted papers”;Middle section;;
“Ten highly cited retracted papers”;Middle section;;",Wakefield et al. 1998,"obtains background from;;
obtains background from;;","neutral;;
neutral;;",no;;
10.1002/meet.2014.14505101102,2014,"The Jenny McCarthy Conundrum: Public Libraries, Popular Culture, and Health Misinformation ",issn:0044-7870,Proceedings Of The American Society For Information Science And Technology,no,"Computer Science;;
Social Sciences;;","Computer Science (miscellaneous);;
Library and Information Sciences;;",None,Wakefield et al. 1998,obtains background from;;,neutral;;,no;;
10.1177/0748233709348391,2009,"Do terbutaline- and mold-associated impairments of the brain and lung relate to autism?



",issn:0748-2337; issn:1477-0393,Toxicology And Industrial Health,no,"Environmental Science;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;
","Health, Toxicology and Mutagenesis;;
Public Health, Environmental and Occupational Health;;
Toxicology;;",Disscussion;;,Wakefield et al. 1998,cites for information;;,neutral;;,no;;
10.1007/s13278-015-0261-5,2015,Using Twitter to learn about the autism community,issn:1869-5450; issn:1869-5469,Social Network Analysis And Mining,no,"Computer Science;;
Engineering;;
Social Sciences;;","Computer Science Applications;
Human-Computer Interaction;
Information Systems;;
Media Technology;;
Communication;;",Discussion; Results; Method;;,Wakefield et al. 1998,cites as evidence;;,neutral;;,no;;
10.1002/9781118688489.ch19,2013,Refl ections on a Decade of Evidence - Based Dentistry ,isbn:9781118688489; isbn:9780813806143,Evidence-Based Orthodontics,no,Dentistry,Dentistry (miscellaneous),None;;,Wakefield et al. 1998,discusses;;,negative;;,yes;;
10.1111/jar.12021,2013,"Autism Research and Services for Young Children: History, Progress and Challenges",issn:1360-2322,Journal Of Applied Research In Intellectual Disabilities,no,"Psychology;;
Social Sciences;;","Developmental and Educational Psychology;;
Education;;",“Diagnosis and Prevalence”;Middle Section;;,Wakefield et al. 1998,discusses;;,negative;;,no;;
10.1046/j.1365-2753.2002.00312.x,2002,"Clinical evaluation: constructing a new model for post‐normal medicine

",issn:1356-1294,Journal Of Evaluation In Clinical Practice,no,Medicine;;,"Health Policy;Public Health, Environmental and Occupational Health;;",introduction;;,Wakefield et al. 1998,ridicules;;,negative;;,no;;
10.1007/s11948-014-9530-3,2014,On the Suppression of Vaccination Dissent,issn:1353-3452; issn:1471-5546,Science And Engineering Ethics,no,"Business, Management and Accounting;;
Medicine;;
Nursing;;
Social Sciences;;","Management of Technology and Innovation;;
Health Policy;;
Issues, Ethics and Legal Aspects;;
Health (social science);;",“Suppression Cases”;Middle Section;;,Wakefield et al. 1998,disputes;;,negative;;,no;;
10.1024/1422-4917.33.4.259,2005,"Autism and metabolic disorders -
what is secured?",issn:1422-4917; issn:1664-2880,Zeitschrift Für Kinder- Und Jugendpsychiatrie Und Psychotherapie,no,"Medicine;;
Psychology;;","Medicine (miscellaneous);
Pediatrics, Perinatology and Child Health;
Psychiatry and Mental Health;;
Clinical Psychology;;",middle section;“Alleged or unclear metabolic abnormalities”;;,Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1007/s12124-011-9157-8,2011,Mismatches between ‘Scientific’ and ‘Non-Scientific’ Ways of Knowing and Their Contributions to Public Understanding of Science,issn:1932-4502; issn:1936-3567,Integrative Psychological And Behavioral Science,no,"Arts and Humanities;;
Neuroscience;;
Psychology;;
Social Sciences;;","Philosophy;;
Behavioral Neuroscience;;
Applied Psychology;
Experimental and Cognitive Psychology;
Neuropsychology and Physiological Psychology;
Social Psychology;;
Anthropology;
Cultural Studies;;",Background;;,Wakefield et al. 1998,describes;;,neutral;;,no;;
10.1007/978-3-319-65266-5_35,2017,Responsible Conduct of Research ,isbn:9783319652641; isbn:9783319652665,Research Ethics Forum - Research Ethics In The Arab Region,no,Nursing,"Issues, Ethics and Legal Aspects",Conclusions;;,Wakefield et al. 1998,discusses;;,neutral;;,no;;
10.1177/0162243908329382,2009,"Experts and Anecdotes: The Role of ‘‘Anecdotal Evidence’’ in Public Scientific Controversies



",issn:0162-2439; issn:1552-8251,"Science, Technology, & Human Values",no,"Arts and Humanities;;
Computer Science;;
Economics, Econometrics and Finance;;
Engineering;;
Social Sciences;;","Philosophy;;
Human-Computer Interaction;;
Economics and Econometrics;;
Engineering (miscellaneous);;
Anthropology;
Social Sciences (miscellaneous);
Sociology and Political Science;;","middle section;“Anecdotal Evidence in the MMR Controversy  ”;;
middle section;“Anecdotal Evidence in the MMR Controversy  ”;;
middle section;“Anecdotal Evidence in the MMR Controversy  ”;;
Middle section; “Expert Response: Putting Anecdotes in Their Place ”;;
Middle section; “Expert Response: Putting Anecdotes in Their Place ”;;",Wakefield et al. 1998,"Describes;;
discusses;;
discusses;;
includes excerpt from;;
discusses;;","neutral;;
neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1111/j.1468-0009.2012.00664.x,2012,The First Rotavirus Vaccine and the Politics of Acceptable Risk,issn:0887-378X,Milbank Quarterly,no,Medicine;;,"Health Policy;
Public Health, Environmental and Occupational Health;;",“Vaccination Begins and Concerns Emerge”;Middle Section;;,Wakefield et al. 1998,discusses;;,negative;;,yes;;
10.1007/s11948-015-9625-5,2015,"Ensuring the Quality, Fairness, and Integrity of Journal Peer Review: A Possible Role of Editors",issn:1353-3452; issn:1471-5546,Science And Engineering Ethics,no,"Business, Management and Accounting;;
Medicine;;
Nursing;;
Social Sciences;;","Management of Technology and Innovation;;
Health Policy;;
Issues, Ethics and Legal Aspects;;
Health (social science);;",“Inadequate Review”;Middle Section;;,Wakefield et al. 1998,cites as evidence;;,negative;;,no;;
10.1007/s12646-015-0302-1,2015,A Growing Trend in Pseudo-Diagnosis: A Field Study on Children Frequently Mistaken for Autism in India,issn:0033-2968; issn:0974-9861,Psychological Studies,no,"Medicine;;
Psychology;;","Medicine (miscellaneous);;
Psychology (miscellaneous);;","Introduction;;
",Wakefield et al. 1998,critiques;;,negative;;,no;;
10.1177/0192623315595884,2015,Regulatory Forum Opinion Piece*: The Value of Publishing Negative Scientific Study Data,issn:0192-6233; issn:1533-1601,Toxicologic Pathology,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;
Pharmacology, Toxicology and Pharmaceutics;;","Cell Biology;
Molecular Biology;;
Pathology and Forensic Medicine;;
Toxicology;;","“Negative Data Has Difficulty Correcting Published False Statements”;Middle Section;;
“Negative Data Has Difficulty Correcting Published False Statements”;Middle Section;;
“Negative Data Has Difficulty Correcting Published False Statements”;Middle Section;;
“Negative Data Has Difficulty Correcting Published False Statements”;Middle Section;;",Wakefield et al. 1998,"Cites for information;;
disputes;;
disputes;;
discusses;;","negative;;
neutral;;
neutral;;
negative;;",yes;;
10.1007/s10803-011-1245-6,2011,Lack of Correlation Between Metallic Elements Analyzed in Hair by ICP-MS and Autism,issn:0162-3257; issn:1573-3432,Journal Of Autism And Developmental Disorders,no,Psychology,Developmental and Educational Psychology,Introduction,Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1080/03014460902852593,2009,"Culture as an explanation in population health

",issn:0301-4460; issn:1464-5033,Annals Of Human Biology,no,"Biochemistry, Genetics and Molecular Biology;;
Medicine;;","Aging;
Genetics;
Physiology;;
Epidemiology;
Public Health, Environmental and Occupational Health;;",Conclusions;;,Wakefield et al. 1998,credits;;,negative;;,no;;
10.1080/17449642.2011.632716,2011,The academic ethics of open access to research and scholarship ,issn:1744-9642; issn:1744-9650,Ethics And Education,no,"Arts and Humanities;;
Social Sciences;;","Philosophy;;
Education;;",None,Wakefield et al. 1998,"cites as evidence;;
discusses;;","neutral;;
positive;;",yes;;
10.1007/978-3-319-31143-2_47-1,2017,"Cobalamin, Microbiota and Epigenetics ",isbn:9783319311432; isbn:9783319311432,"Handbook Of Nutrition, Diet, And Epigenetics",no,,,“Cobalamin and PPA in Autism: Interrelationships with MMA and the Microbiome”;Middle Section;;,Wakefield et al. 1998,discusses;;,neutral;;,yes;;
10.1177/1362361307078126,2007,"Developmental regression and autism reported to the Vaccine Adverse Event Reporting System



",issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,introduction;;,Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1007/978-3-319-63823-2_5,2017,Human Papillomavirus Vaccination: Making Sense of the Public Controversy ,isbn:9783319638225; isbn:9783319638232,Recurrent Respiratory Papillomatosis,no,Medicine,Internal medicine,Introduction,Wakefield et al. 1998,disputes;;,neutral;;,yes;;
10.1201/9781420068870-c9,2009,"Neurotoxic Brainstem Impairment as Proposed Threshold Event in Autistic Regression 
",isbn:9781420068818; isbn:9781420068870,Autism,no,Medicine,Internal medicine,middle section; “SOMATOBEHAVIORAL REGRESSION IN AUTISM ”;;,Wakefield et al. 1998,cites as evidence;;,neutral;;,no;;
10.1111/j.1468-3156.2010.00624.x,2011,"Missing voices: representationsof autism in Britishnewspapers, 1999–2008",issn:1354-4187; issn:1468-3156,British Journal Of Learning Disabilities,no,Nursing;;,"Pediatrics;
Psychiatric Mental Health;;","Introduction;;
Introduction;;
Introduction;;",Wakefield et al. 1998,"discusses;;
discusses;;
discusses;;
","neutral;;
neutral;;
neutral;;",yes;;
10.1080/19460171003714989,2010,"Social movements, knowledge and public policy: the case of autism activism in Canada and the US

",issn:1946-0171; issn:1946-018X,Critical Policy Studies,no,Social Sciences;;,"Public Administration;
Sociology and Political Science;;","middle section; “2. Knowledge, social movements and policy”;;",Wakefield et al. 1998,cites as evidence;;,negative;;,no;;
10.1002/9781118517000.ch19,2013,International Safety Regulations for Vaccine Development,isbn:9781118517000; isbn:9780470745915,Nonclinical Safety Assessment,no,"Medicine;;
Nursing;;
Pharmacology, Toxicology and Pharmaceutics;;","Pharmacology (medical);;
Pharmacology (nursing);;
Pharmacology;;",“What “Toxicities” have been Attributed to Vaccination?”;Middle Section;;,Wakefield et al. 1998,disputes;;,negative;;,no;;
10.1177/1540796914556779,2014,"An Activist Approach to Debunking FC



",issn:1540-7969; issn:2169-2408,Research And Practice For Persons With Severe Disabilities,no,"Health Professions;;
Medicine;;
Psychology;;","Health Professions (miscellaneous);;
Public Health, Environmental and Occupational Health;;
Social Psychology;;","Introduction;;
",Wakefield et al. 1998,critiques;;,negative;;,no;;
10.4137/cpath.s1143,2008,"The Pathogenesis of Autism


",issn:1178-1181,Clinical Medicine. Pathology,no,Medicine;;,"Histology;
Microbiology (medical);
Pathology and Forensic Medicine;;",introduction;;,Wakefield et al. 1998,cites as evidence;;,neutral;;,no;;
10.1002/9780470939406.ch8,2015,"Autism Spectrum Disorders 
",isbn:9780470939406; isbn:9780471237389,Developmental Psychopathology,no,Medicine,Internal medicine,“ETIOLOGY ”;Middle Section;;,Wakefield et al. 1998,describes;;,neutral;;,no;;
10.1111/jnc.12644,2014,"Submitting a manuscript for peer review-integrity, integrity, integrity",issn:0022-3042,Journal Of Neurochemistry,no,"Biochemistry, Genetics and Molecular Biology;;
Neuroscience;;","Biochemistry;;
Cellular and Molecular Neuroscience;;",None,Wakefield et al. 1998,cites as evidence;;,negative;;,no;;
10.12968/bjom.2002.10.3.10198,2002,"Measles, mumps and rubella (MMR) vaccine",issn:0969-4900; issn:2052-4307,British Journal Of Midwifery,no,Nursing,Maternity and Midwifery,"middle section;“Safety of the combined 
vaccine ”;;",Wakefield et al. 1998,describes;;,neutral;;,no;;
10.1080/09687591003701231,2010,"They just seem to live their lives in their own little world’: lay perceptions of autism 
",issn:0968-7599; issn:1360-0508,Disability & Society,no,"Health Professions;;
Social Sciences;;","Health Professions (miscellaneous);;
Health (social science);
Social Sciences (miscellaneous);;",discussion;;,Wakefield et al. 1998,credits;;,neutral;;,no;;
10.1177/1362361399003001005,1999,A Gluten-Free Diet as an Intervention for Autism and Associated Spectrum Disorders: Preliminary Findings,issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,"introduction;;
introduction;;
discussion;;",Wakefield et al. 1998,"describes;;
cites for information;;
qualifies;;","neutral;;
neutral;;
neutral;;",no;;
10.12968/jpar.2010.2.3.cpd1,2010,Continuing Professional Development: Reading and reviewing academic articles,issn:1759-1376; issn:2041-9457,Journal Of Paramedic Practice,no,,,middle section; “A case study “;;,Wakefield et al. 1998,discusses;;,negative;;,no;;
10.1146/annurev.clinpsy.2.022305.095210,2006,"Autism from Developmental and Neuropsychological Perspectives

",issn:1548-5943; issn:1548-5951,Annual Review Of Clinical Psychology,no,"Medicine;;
Psychology;;","Medicine (miscellaneous);
Psychiatry and Mental Health;;
Clinical Psychology;;",Middle section; “EXAMINATION OF POSSIBLE CAUSES OF AUTISM”;;,Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1177/1362361305057880,2005,Parental report of the early development of children with regressive autism: The delays-plus-regression phenotype,issn:1362-3613; issn:1461-7005,Autism,no,Psychology,Developmental and Educational Psychology,"introduction;;
discussion;;",Wakefield et al. 1998,"Cites as evidence;;
discusses;;","neutral;;
neutral;;",no;;
10.1177/1527154408323242,2008,"Evidence-Based Policy: Implications for Nursing and Policy Involvement



",issn:1527-1544; issn:1552-7468,"Policy, Politics, & Nursing Practice",no,"Medicine;;
Nursing;;","Medicine (miscellaneous);;
Issues, Ethics and Legal Aspects;
Leadership and Management;;",middle section;“The Policy Process  ”;;,Wakefield et al. 1998,critiques;;,negative;;,no;;
10.1111/test.12071,2014,Using a discussion about scientific controversy to teach central concepts in experimental design,issn:0141-982X,Teaching Statistics,no,"Mathematics;;
Social Sciences;;","Statistics and Probability;;
Education;;","“Scientific controversy as a tool for teaching informal statistical reasoning”;Middle Section;;
TABLE CONTENT;;
“Typical outcomes”; Middle Section;;",Wakefield et al. 1998,"describes;;
describes;;
Disputes;;","neutral;;
neutral;;
neutral;;",no;;
10.1080/09687590802535345,2009,"Representations of autism in Australian print media

",issn:0968-7599; issn:1360-0508,Disability & Society,no,"Health Professions;;
Social Sciences;;","Health Professions (miscellaneous);;
Health (social science);
Social Sciences (miscellaneous);;",middle section;“Media representations and depictions of autism ”;;,Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1007/s10803-012-1621-x,2012,Prevalence and Onset of Regression within Autism Spectrum Disorders: A Meta-analytic Review,issn:0162-3257; issn:1573-3432,Journal Of Autism And Developmental Disorders,no,Psychology,Developmental and Educational Psychology,Introduction,Wakefield et al. 1998,cites as evidence;;,neutral;;,no;;
10.1007/s11673-014-9570-z,2014,Reconceptualising the Doctor–Patient Relationship: Recognising the Role of Trust in Contemporary Health Care,issn:1176-7529; issn:1872-4353,Journal Of Bioethical Inquiry,no,"Medicine;;
Social Sciences;;","Health Policy;;
Health (social science);;",“The Trust Model: Rationale”;Middle Section;;,Wakefield et al. 1998,discusses;;,negative;;,no;;
10.1007/s11151-017-9579-7,2017,Is “Delitigation” Associated with a Change in Product Safety? The Case of Vaccines,issn:0889-938X; issn:1573-7160,Review Of Industrial Organization,no,"Business, Management and Accounting;;
Economics, Econometrics and Finance;;","Management of Technology and Innovation;
Organizational Behavior and Human Resource Management;
Strategy and Management;;
Economics and Econometrics;;",“Empirical Analysis: Comparing Vaccine Safety Before and After NCVIA”;Middle section;;,Wakefield et al. 1998,cites as evidence;;,neutral;;,yes;;
10.1080/10807039.2012.716679,2013,A Boomerang Effect of an All-Clear Message on Radiation Risk,issn:1080-7039; issn:1549-7860,Human And Ecological Risk Assessment: An International Journal,no,Environmental Science;;,"Ecological Modeling;
Health, Toxicology and Mutagenesis;
Pollution;;",“CONCEPTUAL CONSIDERATIONS”;Middle section;;,Wakefield et al. 1998,critiques;;,neutral;;,no;;
10.1007/s11747-017-0528-7,2017,On the significance of statistically insignificant results in consumer behavior experiments,issn:0092-0703; issn:1552-7824,Journal Of The Academy Of Marketing Science,no,"Business, Management and Accounting;;
Economics, Econometrics and Finance;;","Business and International Management;
Marketing;;
Economics and Econometrics;;",“Reasons for significantly insignificant Ft statistics”,Wakefield et al. 1998,cites as evidence;;,neutral;;,no;;
10.1111/j.1354-4187.2005.00304.x,2005,"Media reports of links between MMR and autism: a discourse analysis

",issn:1354-4187; issn:1468-3156,British Journal Of Learning Disabilities,no,Nursing;;,"Pediatrics;
Psychiatric Mental Health;;","introduction;;
introduction;;",Wakefield et al. 1998,"discusses;;
Qualifies;;","neutral;;
neutral;;",no;;
10.1007/978-3-319-28326-5_2,2016,Epidemiology and Public Health Intelligence ,isbn:9783319283241; isbn:9783319283265,Public Health Intelligence,no,Medicine,Medicine (miscellaneous),middle section; “Case Series“;;,Wakefield et al. 1998,critiques;;,negative;;,no;;
10.1590/0001-3765201520140663,2015,"The re-emergency and persistence of vaccine preventable diseases

",issn:1678-2690; issn:0001-3765,Anais Da Academia Brasileira De Ciências,no,Multidisciplinary;;,Multidisciplinary;;,"Introduction;;
",Wakefield et al. 1998,disputes;;,neutral;;,no;;
10.1111/meta.12256,2017,The Philosophical Use and Misuse of Science,issn:0026-1068,Metaphilosophy,no,Arts and Humanities;;,Philosophy,"“3 Why Do Philosophers Misuse Science, and Why Does It Matter?”;Middle Section;;",Wakefield et al. 1998,cites as evidence;;,negative;;,no;;
10.1111/j.1365-2214.2004.00380.x,2004,"Developmental, behavioural and somatic factors in pervasive developmental disorders: preliminary analysis",issn:0305-1862; issn:1365-2214,"Child: Care, Health And Development",no,"Medicine;;
Psychology;;","Pediatrics, Perinatology and Child Health;
Public Health, Environmental and Occupational Health;;
Developmental and Educational Psychology;;",discussion;;,Wakefield et al. 1998,cites for information;;,neutral;;,no;;
10.1111/j.1365-2788.2006.00833.x,2006,"Prevalence of gastrointestinal disorders in adult clients with pervasive developmental disorders

",issn:0964-2633; issn:1365-2788,Journal Of Intellectual Disability Research,no,"Arts and Humanities;;
Medicine;;
Neuroscience;;","Arts and Humanities (miscellaneous);;
Neurology (clinical);
Psychiatry and Mental Health
Rehabilitation;;
Neurology;;","introduction;;
introduction;;
introduction;;",Wakefield et al. 1998,"cites for information;;
cites for information;;
disputes;;","neutral;;
neutral;;
neutral;;",no;;
10.1002/hec.3153,2015,THE EFFECT OF STATE INSURANCE MANDATES ON INFANT IMMUNIZATION RATES,issn:1057-9230,Health Economics,no,Medicine,Health Policy;;,Results;;,Wakefield et al. (1998),discusses;;,neutral;;,no;;
10.1111/j.1365-2788.2012.01617.x,2012,The human rights context for ethical requirements for involving people with intellectual disability in medical research,issn:0964-2633; issn:1365-2788,Journal Of Intellectual Disability Research,no,"Arts and Humanities;;
Medicine;;
Neuroscience;;","Arts and Humanities (miscellaneous);;
Neurology (clinical);
Psychiatry and Mental Health
Rehabilitation;;
Neurology;;","“Apparent ineffectiveness of ethical guidelines”;Middle Section;;
“Apparent ineffectiveness of ethical guidelines”;Middle Section;;
“Apparent ineffectiveness of ethical guidelines”;Middle Section;;",Wakefield et al. (1998),"discusses;;
discusses;;
qualifies;;","neutral;;
negative;;
negative;;",yes;;
10.1287/isre.1110.0355,2011,Editorial Notes,issn:1047-7047; issn:1526-5536,Information Systems Research,no,"Business, Management and Accounting;;
Computer Science;;
Decision Sciences;;
Social Sciences;;
","Management Information Systems;;
Computer Networks and Communications;
Information Systems;;
Information Systems and Management;;
Library and Information Sciences;;",“On the Role of the Academic Journal”;Middle Section;;,Wakefield et al. (1998),cites as evidence;;,negative;;,yes;;
10.1046/j.1365-277x.2002.00372.x,2002,Gluten and casein free diets in autism: a study of the effects on food choice and nutrition,issn:0952-3871; issn:1365-277X,Journal Of Human Nutrition And Dietetics,no,"Medicine;;
Nursing;;","Medicine (miscellaneous);;
Nutrition and Dietetics;;",introduction;;,Wakefield et al. (1998),describes;;,neutral;;,no;;
10.1111/psj.12160,2016,More than the Affordable Care Act: Topics and Themes in Health Policy Research,issn:0190-292X,Policy Studies Journal,no,"Environmental Science;;
Social Sciences;;","Management, Monitoring, Policy and Law;;
Public Administration;
Sociology and Political Science;;",“Public Health Policy”;Middle Section;;,Wakefield et al. (1998),credits;;,neutral;;,yes;;
10.1177/1363459316660860,2016,Hope and doubt in the promise of neuroimaging: The case of autism spectrum disorder,issn:1363-4593; issn:1461-7196,"Health: An Interdisciplinary Journal For The Social Study Of Health, Illness And Medicine",no,Social Sciences;;,Health (social science),“Hope: the “truth” of ASD”;Middle Section;;,Wakefield et al. (1998),disputes;;,neutral;;,yes;;
10.1002/meet.14504701229,2010,"Childhood vaccinations and autism, 1998–2010: Expert domains in formal information exchanges",issn:0044-7870,Proceedings Of The American Society For Information Science And Technology,no,"Computer Science;;
Social Sciences;;","Computer Science (miscellaneous);;
Library and Information Sciences;;","Abstract;;
Introduction;;",Wakefield et al.,"discusses;;
discusses;;","neutral;;
neutral;;",no;;
10.1207/s15427625tcq1403_4,2005,"""I Knew There Was Something Wrong with That Paper"": Scientific Rhetorical Styles and Scientific Misunderstandings",issn:1057-2252; issn:1542-7625,Technical Communication Quarterly,no,Social Sciences;;,"Communication;
Education;;",middle section;“PROBLEMATICALLY BOLD OR CAUTIOUS RHETORICAL STYLES ”;;,Wakefield et al.,discusses;;,neutral;;,yes;;
10.1192/bjp.176.1.20,2000,Autism – an evolving concept,issn:0007-1250; issn:1472-1465,British Journal Of Psychiatry,No,Medicine,"Medicine (miscellaneous);
Psychiatry and Mental Health;;",middle section;“AETIOLOGY”;;,"Wakefield et al, 1998a",qualifies;;,neutral;;,no;;
10.12968/pnur.2008.19.4.29079,2008,"Measles returns


",issn:0964-9271; issn:2052-2940,Practice Nursing,no,Nursing;;,Neuroscience (miscellaneous);;,middle section;“The MMR-autism scare ”;;,"Wakefield et al, 1998",credits;;,neutral;;,no;;
10.12968/bjon.2004.13.14.14309,2004,Exploring the evidence surrounding the debate on MMR and autism,issn:0966-0461; issn:2052-2819,British Journal Of Nursing,no,Nursing;;,Nursing (miscellaneous);;,"Background ;;
Background ;;
Background ;;","Wakefield et al, 1998","credits;;
Cites for information;;
discusses;;","neutral;;
neutral;;
neutral;;",no;;
10.1080/10284150400004155,2004,"Immune Response to Dietary Proteins, Gliadin and Cerebellar Peptides in Children with Autism 
",issn:1028-415X; issn:1476-8305,Nutritional Neuroscience,no,"Medicine;;
Neuroscience;;
Nursing;;","Medicine (miscellaneous);;
Neuroscience (miscellaneous);;
Nutrition and Dietetics;;",introduction;;,"Wakefield et al, 1998",obtains support from;;,positive;;,no;;
10.12968/jpar.2008.1.1.42028,2008,"A guide to reading scientific journal articles
",issn:1759-1376; issn:2041-9457,Journal Of Paramedic Practice,no,,,Results;;,"Wakefield et al, 1998",cites as evidence;;,negative;;,no;;
10.1038/sj.embor.7400862,2006,"Bad science in the headlines
",issn:1469-221X; issn:1469-3178,Embo Reports,no,"Biochemistry, Genetics and Molecular Biology;;","Biochemistry, Genetics and Molecular Biology;;",none,"Wakefield et al, 1998",critiques;;,negative;;,no;;
10.1177/14690446070080010901,2007,"The MMR vaccine controversy — winners, losers, impact and challenges
",issn:1757-1774; issn:1757-1782,Journal of Infection Prevention,no,"Medicine;;
Nursing;;","Health Policy;
Infectious Diseases;
Public Health, Environmental and Occupational Health;;
Advanced and Specialized Nursing;;","middle section;“The turning point and subsequent controversy”;;
middle section;“The turning point and subsequent controversy”;;
middle section;“The turning point and subsequent controversy”;;
middle section;“The turning point and subsequent controversy”;;","Wakefield et al, 1998","describes;;
discusses;;
includes excerpt from;;
includes excerpt from;;","neutral;;
neutral;;
neutral;;
neutral;;",no;;
10.1068/a3779,2005,"Health, Responsibility, and Choice: Contrasting Negotiations of Air Pollution and Immunisation Information



",issn:0308-518X; issn:1472-3409,Environment And Planning A: Economy And Space,no,"Environmental Science;;
Social Sciences;;","Environmental Science (miscellaneous);;
Geography, Planning and Development;;",introduction;;,"Wakefield et al, 1998",qualifies;;,neutral;;,no;;
10.1108/s1057-6290(2010)0000011015,2010,"The rhetoric of science and statistics in claims of an autism epidemic

",isbn:9781848550803; isbn:9781848550810,Understanding Emerging Epidemics: Social And Political Approaches - Advances In Medical Sociology,no,Medicine,Public Health,"middle section; “CAUSE OR COINCIDENCE? ”;;
Middle section; “MEDICALIZATION OF CHILDHOOD ASD”;; 
Middle section; “SCIENTIFIC AGENCY AND PARENT-EXPERTS ”;;
Middle section; “SCIENTIFIC AGENCY AND PARENT-EXPERTS ”;;","Wakefield et al, 1998","cites for information;;
qualifies;;
discusses;;
discusses;;","neutral;;
neutral;;
negative;;
negative;;",no;;
10.12968/bjom.2015.23.11.808,2015,Living with autism: What’s your superpower? A personal reflection ,issn:0969-4900; issn:2052-4307,British Journal Of Midwifery,no,Nursing,Maternity and Midwifery,"middle section; “Living with ‘our’ autism: carer perspective”;;
middle section; “Living with ‘our’ autism: carer perspective”;;","Wakefield et al, 1998","discusses;;
qualifies;;","neutral;;
negative;;",yes;;
10.12968/pnur.2011.22.2.78,2011,"Measles, Mumps and Rubella: A Brief Guide",issn:0964-9271; issn:2052-2940,Practice Nursing,no,Nursing;;,Neuroscience (miscellaneous);;,"Introduction;;
","Wakefield et al, 1998",discusses;;,negative;;,yes;;
10.12968/bjom.2013.21.1.16,2013,"Post-partum MMR immunisation rates in rubella-susceptible antenatal women 
",issn:0969-4900; issn:2052-4307,British Journal Of Midwifery,no,Nursing,Maternity and Midwifery,discussion;;,"Wakefield et al, 1998","Cites for information;;
",neutral;;,no;;
10.12968/pnur.2002.13.2.10100,2002,"Mumps: The risks of non-prevention 
",issn:0964-9271; issn:2052-2940,Practice Nursing,no,Nursing;;,Neuroscience (miscellaneous);;,middle section;“Prevention”;;,"Wakefield et al, 1998",disputes;;,neutral;;,no;;
10.12968/pnur.2001.12.8.4390,2001,Vigilance for measles in primary care ,issn:0964-9271; issn:2052-2940,Practice Nursing,no,Nursing;;,Neuroscience (miscellaneous);;,middle section;“MMR vaccine”;;,"Wakefield et al, 1998",discusses;;,negative;;,no;;
10.1002/ddr.21369,2016,From Gutenberg to Open Science: An Unfulfilled Odyssey,issn:0272-4391,Drug Development Research,no,"Pharmacology, Toxicology and Pharmaceutics",Drug Discovery,"Introduction;;
","Wakefield et al, 1998",critiques;;,negative;;,no;;
